config,emergencia,iter,durationMin,distanceM,totalEdges,crossesElementoAlta,crossesObraAlta
BASE,inundacion,1,8.42,657,20,0,0
CATAS,inundacion,1,10.15,657,20,0,0
BASE,inundacion,2,19.08,1419,38,0,0
CATAS,inundacion,2,21.93,1419,38,0,0
BASE,inundacion,3,16.92,1316,31,0,0
CATAS,inundacion,3,20.33,1316,31,0,0
BASE,inundacion,4,68.68,4984,240,0,0
CATAS,inundacion,4,77.01,4984,240,0,0
BASE,inundacion,5,80.22,5890,297,0,0
CATAS,inundacion,5,91.01,5890,297,0,0
BASE,inundacion,6,5.22,402,13,0,0
CATAS,inundacion,6,6.21,402,13,0,0
BASE,inundacion,7,19.52,1496,58,0,0
CATAS,inundacion,7,23.11,1496,58,0,0
BASE,inundacion,8,45.59,3370,150,0,3
CATAS,inundacion,8,59.62,3370,150,0,3
BASE,inundacion,9,37.38,2915,106,0,3
CATAS,inundacion,9,51.5,3333,95,0,0
BASE,inundacion,10,72.46,5285,242,0,0
CATAS,inundacion,10,81.65,5285,242,0,0
BASE,inundacion,11,49.81,3747,167,0,0
CATAS,inundacion,11,57.89,3747,167,0,0
BASE,inundacion,12,31.08,2344,90,0,0
CATAS,inundacion,12,36.21,2344,90,0,0
BASE,inundacion,13,67.54,4747,260,0,0
CATAS,inundacion,13,73.35,4747,260,0,0
BASE,inundacion,14,24.23,1797,51,0,0
CATAS,inundacion,14,27.76,1797,51,0,0
BASE,inundacion,15,7.45,581,21,0,0
CATAS,inundacion,15,8.98,581,21,0,0
BASE,inundacion,16,67.96,5148,155,0,0
CATAS,inundacion,16,79.54,5148,155,0,0
BASE,inundacion,17,56.63,4139,210,0,0
CATAS,inundacion,17,63.95,4139,210,0,0
BASE,inundacion,18,24.53,1815,53,0,0
CATAS,inundacion,18,28.04,1815,53,0,0
BASE,inundacion,19,71.69,5386,187,0,0
CATAS,inundacion,19,83.22,5386,187,0,0
BASE,inundacion,20,17,1276,53,0,0
CATAS,inundacion,20,19.71,1276,53,0,0
BASE,inundacion,21,17.32,1318,43,0,0
CATAS,inundacion,21,20.37,1318,43,0,0
BASE,inundacion,22,35.3,2607,116,0,0
CATAS,inundacion,22,40.28,2607,116,0,0
BASE,inundacion,23,18.46,1397,41,0,0
CATAS,inundacion,23,21.59,1397,41,0,0
BASE,inundacion,24,40.06,3060,132,0,0
CATAS,inundacion,24,47.28,3060,132,0,0
BASE,inundacion,25,31.64,2461,92,0,3
CATAS,inundacion,25,43.07,2788,69,0,0
BASE,inundacion,26,24.69,1919,53,0,0
CATAS,inundacion,26,29.65,1919,53,0,0
BASE,inundacion,27,12.36,964,33,0,0
CATAS,inundacion,27,14.78,957,35,0,0
BASE,inundacion,28,35.61,2490,137,0,0
CATAS,inundacion,28,38.47,2490,137,0,0
BASE,inundacion,29,31.88,2371,113,0,3
CATAS,inundacion,29,44.18,2371,113,0,3
BASE,inundacion,30,40.94,3128,150,0,0
CATAS,inundacion,30,48.33,3128,150,0,0
BASE,inundacion,31,33.49,2556,110,0,3
CATAS,inundacion,31,47.03,2555,108,0,3
BASE,inundacion,32,2.74,214,6,0,0
CATAS,inundacion,32,3.3,214,6,0,0
BASE,inundacion,33,38.62,2999,97,0,0
CATAS,inundacion,33,46.34,2999,97,0,0
BASE,inundacion,34,79.49,5690,290,0,0
CATAS,inundacion,34,87.91,5690,290,0,0
BASE,inundacion,35,23.7,1849,81,0,3
CATAS,inundacion,35,36.1,1848,79,0,3
BASE,inundacion,36,82.68,6209,198,0,0
CATAS,inundacion,36,95.93,6209,198,0,0
BASE,inundacion,37,39.88,3110,128,0,3
CATAS,inundacion,37,54.51,3528,117,0,0
BASE,inundacion,38,79.39,5683,295,0,0
CATAS,inundacion,38,87.82,5683,295,0,0
BASE,inundacion,39,28.09,2191,55,0,0
CATAS,inundacion,39,33.86,2191,55,0,0
BASE,inundacion,40,35.21,2659,65,0,0
CATAS,inundacion,40,41.09,2659,65,0,0
BASE,inundacion,41,35.62,2778,127,0,3
CATAS,inundacion,41,50.46,2778,125,0,3
BASE,inundacion,43,6.33,493,7,0,0
CATAS,inundacion,43,7.62,493,7,0,0
BASE,inundacion,44,23.56,1769,47,0,0
CATAS,inundacion,44,28.32,1769,47,0,0
BASE,inundacion,45,25.27,1902,60,0,0
CATAS,inundacion,45,29.39,1902,60,0,0
BASE,inundacion,46,38.94,2926,106,0,0
CATAS,inundacion,46,45.22,2926,106,0,0
BASE,inundacion,47,82.55,6168,224,0,0
CATAS,inundacion,47,95.3,6168,224,0,0
BASE,inundacion,48,16.58,1224,31,0,0
CATAS,inundacion,48,18.91,1224,31,0,0
BASE,inundacion,49,19.05,1405,38,0,0
CATAS,inundacion,49,21.71,1405,38,0,0
BASE,inundacion,50,21.23,1616,65,0,3
CATAS,inundacion,50,32.52,1616,65,0,3
BASE,avenida_torrencial,1,87.01,6567,220,0,0
CATAS,avenida_torrencial,1,101.46,6567,220,0,0
BASE,avenida_torrencial,2,32.52,2513,67,0,0
CATAS,avenida_torrencial,2,38.83,2513,67,0,0
BASE,avenida_torrencial,3,34.06,2562,75,0,0
CATAS,avenida_torrencial,3,39.58,2562,75,0,0
BASE,avenida_torrencial,4,9.11,710,13,0,0
CATAS,avenida_torrencial,4,10.98,710,13,0,0
BASE,avenida_torrencial,5,49.16,3642,157,0,0
CATAS,avenida_torrencial,5,56.28,3642,157,0,0
BASE,avenida_torrencial,6,71.7,5420,153,0,0
CATAS,avenida_torrencial,6,83.74,5420,153,0,0
BASE,avenida_torrencial,7,93.91,7017,242,0,0
CATAS,avenida_torrencial,7,108.42,7017,242,0,0
BASE,avenida_torrencial,8,27.69,2044,67,0,0
CATAS,avenida_torrencial,8,31.59,2044,67,0,0
BASE,avenida_torrencial,9,19.43,1461,65,0,0
CATAS,avenida_torrencial,9,22.57,1461,65,0,0
BASE,avenida_torrencial,10,11.05,837,31,0,0
CATAS,avenida_torrencial,10,12.94,837,31,0,0
BASE,avenida_torrencial,11,36.2,2798,91,0,0
CATAS,avenida_torrencial,11,43.24,2798,91,0,0
BASE,avenida_torrencial,12,22.7,1766,44,0,0
CATAS,avenida_torrencial,12,27.29,1766,44,0,0
BASE,avenida_torrencial,13,41.71,2908,116,0,0
CATAS,avenida_torrencial,13,44.93,2908,116,0,0
BASE,avenida_torrencial,14,21.34,1595,60,0,0
CATAS,avenida_torrencial,14,24.64,1595,60,0,0
BASE,avenida_torrencial,15,53.77,3854,157,1,3
CATAS,avenida_torrencial,15,61.32,3969,161,0,0
BASE,avenida_torrencial,16,30.44,2305,63,0,0
CATAS,avenida_torrencial,16,35.62,2305,63,0,0
BASE,avenida_torrencial,17,33.91,2645,110,1,3
CATAS,avenida_torrencial,17,47.32,3062,99,0,0
BASE,avenida_torrencial,18,68.78,5047,247,0,0
CATAS,avenida_torrencial,18,77.98,5047,247,0,0
BASE,avenida_torrencial,19,10.37,800,17,0,0
CATAS,avenida_torrencial,19,12.37,800,17,0,0
BASE,avenida_torrencial,20,84.68,6201,324,0,0
CATAS,avenida_torrencial,20,95.82,6201,324,0,0
BASE,avenida_torrencial,21,28.99,2189,106,1,3
CATAS,avenida_torrencial,21,42.76,2189,106,1,3
BASE,avenida_torrencial,22,47.17,3556,151,0,0
